,,,Node1,Node2,Node3,Node4
period1,sc01,t0001,,,, 39.9999999999999 
period1,sc01,t0002,,,, 129.999999999999 
period1,sc01,t0003,,,, 39.9999999999999 
period1,sc01,t0004,,,, 129.999999999999 
period1,sc01,t0005,,,, 220 
period1,sc01,t0006,,,, 129.999999999999 
period1,sc01,t0007,,,, 39.9999999999999 
period1,sc01,t0008,,,, 129.999999999999 
period1,sc01,t0009,,,, 39.9999999999999 
period1,sc01,t0010,,,, 129.999999999999 
period1,sc01,t0011,,,, 220 
period1,sc01,t0012,,,, 129.999999999999 
period1,sc01,t0013,,,, 50 
period1,sc01,t0014,,,, 129.999999999999 
period1,sc01,t0015,,,, 220 
period1,sc01,t0016,,,, 129.999999999999 
period1,sc01,t0017,,,, 129.999999999999 
period1,sc01,t0018,,,, 39.9999999999999 
period1,sc01,t0019,,,, 129.999999999999 
period1,sc01,t0020,,,, 219.999999999999 
period1,sc01,t0021,,,, 129.999999999999 
period1,sc01,t0022,,,, 220 
period1,sc01,t0023,,,, 129.999999999999 
period1,sc01,t0024,,,, 90 
period1,sc01,t0025,,,,
period1,sc01,t0026,,,,
period1,sc01,t0027,,,,
period1,sc01,t0028,,,,
period1,sc01,t0029,,,,
period1,sc01,t0030,,,,
period1,sc01,t0031,,,,
period1,sc01,t0032,,,,
period1,sc01,t0033,,,,
period1,sc01,t0034,,,,
period1,sc01,t0035,,,,
period1,sc01,t0036,,,,
period1,sc01,t0037,,,,
period1,sc01,t0038,,,,
period1,sc01,t0039,,,,
period1,sc01,t0040,,,,
period1,sc01,t0041,,,,
period1,sc01,t0042,,,,
period1,sc01,t0043,,,,
period1,sc01,t0044,,,,
period1,sc01,t0045,,,,
period1,sc01,t0046,,,,
period1,sc01,t0047,,,,
period1,sc01,t0048,,,,
period1,sc01,t0049,,,,
period1,sc01,t0050,,,,
period1,sc01,t0051,,,,
period1,sc01,t0052,,,,
period1,sc01,t0053,,,,
period1,sc01,t0054,,,,
period1,sc01,t0055,,,,
period1,sc01,t0056,,,,
period1,sc01,t0057,,,,
period1,sc01,t0058,,,,
period1,sc01,t0059,,,,
period1,sc01,t0060,,,,
period1,sc01,t0061,,,,
period1,sc01,t0062,,,,
period1,sc01,t0063,,,,
period1,sc01,t0064,,,,
period1,sc01,t0065,,,,
period1,sc01,t0066,,,,
period1,sc01,t0067,,,,
period1,sc01,t0068,,,,
period1,sc01,t0069,,,,
period1,sc01,t0070,,,,
period1,sc01,t0071,,,,
period1,sc01,t0072,,,,
period1,sc01,t0073,,,,
period1,sc01,t0074,,,,
period1,sc01,t0075,,,,
period1,sc01,t0076,,,,
period1,sc01,t0077,,,,
period1,sc01,t0078,,,,
period1,sc01,t0079,,,,
period1,sc01,t0080,,,,
period1,sc01,t0081,,,,
period1,sc01,t0082,,,,
period1,sc01,t0083,,,,
period1,sc01,t0084,,,,
period1,sc01,t0085,,,,
period1,sc01,t0086,,,,
period1,sc01,t0087,,,,
period1,sc01,t0088,,,,
period1,sc01,t0089,,,,
period1,sc01,t0090,,,,
period1,sc01,t0091,,,,
period1,sc01,t0092,,,,
period1,sc01,t0093,,,,
period1,sc01,t0094,,,,
period1,sc01,t0095,,,,
period1,sc01,t0096,,,,
period1,sc01,t0097,,,,
period1,sc01,t0098,,,,
period1,sc01,t0099,,,,
period1,sc01,t0100,,,,
period1,sc01,t0101,,,,
period1,sc01,t0102,,,,
period1,sc01,t0103,,,,
period1,sc01,t0104,,,,
period1,sc01,t0105,,,,
period1,sc01,t0106,,,,
period1,sc01,t0107,,,,
period1,sc01,t0108,,,,
period1,sc01,t0109,,,,
period1,sc01,t0110,,,,
period1,sc01,t0111,,,,
period1,sc01,t0112,,,,
period1,sc01,t0113,,,,
period1,sc01,t0114,,,,
