,,,Node1,Node2,Node3,Node4
period1,sc01,t0001, 80 , 80 ,,
period1,sc01,t0002, 80 , 80 ,,
period1,sc01,t0003, 80 , 80 ,,
period1,sc01,t0004, 80 , 80 ,,
period1,sc01,t0005, 80 , 80 ,,
period1,sc01,t0006, 80 , 80 ,,
period1,sc01,t0007, 80 , 80 ,,
period1,sc01,t0008, 80 , 80 ,,
period1,sc01,t0009, 80 , 80 ,,
period1,sc01,t0010, 80 , 80 ,,
period1,sc01,t0011, 80 , 80 ,,
period1,sc01,t0012, 80 , 80 ,,
period1,sc01,t0013, 80 , 80 ,,
period1,sc01,t0014, 80 , 80 ,,
period1,sc01,t0015, 80 , 80 ,,
period1,sc01,t0016, 80 , 80 ,,
period1,sc01,t0017, 80 , 80 ,,
period1,sc01,t0018, 80 , 80 ,,
period1,sc01,t0019, 80 , 80 ,,
period1,sc01,t0020, 80 , 80 ,,
period1,sc01,t0021, 80 , 80 ,,
period1,sc01,t0022, 80 , 80 ,,
period1,sc01,t0023, 80 , 80 ,,
period1,sc01,t0024, 80 , 80 ,,
period1,sc01,t0025, 80 , 80 ,,
period1,sc01,t0026, 80 , 80 ,,
period1,sc01,t0027, 80 , 80 ,,
period1,sc01,t0028, 80 , 80 ,,
period1,sc01,t0029, 80 , 80 ,,
period1,sc01,t0030, 80 , 80 ,,
period1,sc01,t0031, 80 , 80 ,,
period1,sc01,t0032, 80 , 80 ,,
period1,sc01,t0033, 80 , 80 ,,
period1,sc01,t0034, 80 , 80 ,,
period1,sc01,t0035, 80 , 80 ,,
period1,sc01,t0036, 80 , 80 ,,
period1,sc01,t0037, 80 , 80 ,,
period1,sc01,t0038, 80 , 80 ,,
period1,sc01,t0039, 80 , 80 ,,
period1,sc01,t0040, 80 , 80 ,,
period1,sc01,t0041, 80 , 80 ,,
period1,sc01,t0042, 80 , 80 ,,
period1,sc01,t0043, 80 , 80 ,,
period1,sc01,t0044, 80 , 80 ,,
period1,sc01,t0045, 80 , 80 ,,
period1,sc01,t0046, 80 , 80 ,,
period1,sc01,t0047, 80 , 80 ,,
period1,sc01,t0048, 80 , 80 ,,
period1,sc01,t0049, 80 , 80 ,,
period1,sc01,t0050, 80 , 80 ,,
period1,sc01,t0051, 80 , 80 ,,
period1,sc01,t0052, 80 , 80 ,,
period1,sc01,t0053, 80 , 80 ,,
period1,sc01,t0054, 80 , 80 ,,
period1,sc01,t0055, 80 , 80 ,,
period1,sc01,t0056, 80 , 80 ,,
period1,sc01,t0057, 80 , 80 ,,
period1,sc01,t0058, 80 , 80 ,,
period1,sc01,t0059, 80 , 80 ,,
period1,sc01,t0060, 80 , 80 ,,
period1,sc01,t0061, 80 , 80 ,,
period1,sc01,t0062, 80 , 80 ,,
period1,sc01,t0063, 80 , 80 ,,
period1,sc01,t0064, 80 , 80 ,,
period1,sc01,t0065, 80 , 80 ,,
period1,sc01,t0066, 80 , 80 ,,
period1,sc01,t0067, 80 , 80 ,,
period1,sc01,t0068, 80 , 80 ,,
period1,sc01,t0069, 80 , 80 ,,
period1,sc01,t0070, 80 , 80 ,,
period1,sc01,t0071, 80 , 80 ,,
period1,sc01,t0072, 80 , 80 ,,
period1,sc01,t0073, 80 , 80 ,,
period1,sc01,t0074, 80 , 80 ,,
period1,sc01,t0075, 80 , 80 ,,
period1,sc01,t0076, 80 , 80 ,,
period1,sc01,t0077, 80 , 80 ,,
period1,sc01,t0078, 80 , 80 ,,
period1,sc01,t0079, 80 , 80 ,,
period1,sc01,t0080, 80 , 80 ,,
period1,sc01,t0081, 80 , 80 ,,
period1,sc01,t0082, 80 , 80 ,,
period1,sc01,t0083, 80 , 80 ,,
period1,sc01,t0084, 80 , 80 ,,
period1,sc01,t0085, 80 , 80 ,,
period1,sc01,t0086, 80 , 80 ,,
period1,sc01,t0087, 80 , 80 ,,
period1,sc01,t0088, 80 , 80 ,,
period1,sc01,t0089, 80 , 80 ,,
period1,sc01,t0090, 80 , 80 ,,
period1,sc01,t0091, 80 , 80 ,,
period1,sc01,t0092, 80 , 80 ,,
period1,sc01,t0093, 80 , 80 ,,
period1,sc01,t0094, 80 , 80 ,,
period1,sc01,t0095, 80 , 80 ,,
period1,sc01,t0096, 80 , 80 ,,
period1,sc01,t0097, 80 , 80 ,,
period1,sc01,t0098, 80 , 80 ,,
period1,sc01,t0099, 80 , 80 ,,
period1,sc01,t0100, 80 , 80 ,,
period1,sc01,t0101, 80 , 80 ,,
period1,sc01,t0102, 80 , 80 ,,
period1,sc01,t0103, 80 , 80 ,,
period1,sc01,t0104, 80 , 80 ,,
period1,sc01,t0105, 80 , 80 ,,
period1,sc01,t0106, 80 , 80 ,,
period1,sc01,t0107, 80 , 80 ,,
period1,sc01,t0108, 80 , 80 ,,
period1,sc01,t0109, 80 , 80 ,,
period1,sc01,t0110, 80 , 80 ,,
period1,sc01,t0111, 80 , 80 ,,
period1,sc01,t0112, 80 , 80 ,,
period1,sc01,t0113, 80 , 80 ,,
period1,sc01,t0114, 80 , 80 ,,
period1,sc01,t0115, 80 , 80 ,,
period1,sc01,t0116, 80 , 80 ,,
period1,sc01,t0117, 80 , 80 ,,
period1,sc01,t0118, 80 , 80 ,,
period1,sc01,t0119, 80 , 80 ,,
period1,sc01,t0120, 80 , 80 ,,
period1,sc01,t0121, 80 , 80 ,,
period1,sc01,t0122, 80 , 80 ,,
period1,sc01,t0123, 80 , 80 ,,
period1,sc01,t0124, 80 , 80 ,,
period1,sc01,t0125, 80 , 80 ,,
period1,sc01,t0126, 80 , 80 ,,
period1,sc01,t0127, 80 , 80 ,,
period1,sc01,t0128, 80 , 80 ,,
period1,sc01,t0129, 80 , 80 ,,
period1,sc01,t0130, 80 , 80 ,,
period1,sc01,t0131, 80 , 80 ,,
period1,sc01,t0132, 80 , 80 ,,
period1,sc01,t0133, 80 , 80 ,,
period1,sc01,t0134, 80 , 80 ,,
period1,sc01,t0135, 80 , 80 ,,
period1,sc01,t0136, 80 , 80 ,,
period1,sc01,t0137, 80 , 80 ,,
period1,sc01,t0138, 80 , 80 ,,
period1,sc01,t0139, 80 , 80 ,,
period1,sc01,t0140, 80 , 80 ,,
period1,sc01,t0141, 80 , 80 ,,
period1,sc01,t0142, 80 , 80 ,,
period1,sc01,t0143, 80 , 80 ,,
period1,sc01,t0144, 80 , 80 ,,
period1,sc01,t0145, 80 , 80 ,,
period1,sc01,t0146, 80 , 80 ,,
period1,sc01,t0147, 80 , 80 ,,
period1,sc01,t0148, 80 , 80 ,,
period1,sc01,t0149, 80 , 80 ,,
period1,sc01,t0150, 80 , 80 ,,
period1,sc01,t0151, 80 , 80 ,,
period1,sc01,t0152, 80 , 80 ,,
period1,sc01,t0153, 80 , 80 ,,
period1,sc01,t0154, 80 , 80 ,,
period1,sc01,t0155, 80 , 80 ,,
period1,sc01,t0156, 80 , 80 ,,
period1,sc01,t0157, 80 , 80 ,,
period1,sc01,t0158, 80 , 80 ,,
period1,sc01,t0159, 80 , 80 ,,
period1,sc01,t0160, 80 , 80 ,,
period1,sc01,t0161, 80 , 80 ,,
period1,sc01,t0162, 80 , 80 ,,
period1,sc01,t0163, 80 , 80 ,,
period1,sc01,t0164, 80 , 80 ,,
period1,sc01,t0165, 80 , 80 ,,
period1,sc01,t0166, 80 , 80 ,,
period1,sc01,t0167, 80 , 80 ,,
period1,sc01,t0168, 80 , 80 ,,
period1,sc01,t0169, 80 , 80 ,,
period1,sc01,t0170, 80 , 80 ,,
period1,sc01,t0171, 80 , 80 ,,
period1,sc01,t0172, 80 , 80 ,,
period1,sc01,t0173, 80 , 80 ,,
period1,sc01,t0174, 80 , 80 ,,
period1,sc01,t0175, 80 , 80 ,,
period1,sc01,t0176, 80 , 80 ,,
period1,sc01,t0177, 80 , 80 ,,
period1,sc01,t0178, 80 , 80 ,,
period1,sc01,t0179, 80 , 80 ,,
period1,sc01,t0180, 80 , 80 ,,
period1,sc01,t0181, 80 , 80 ,,
period1,sc01,t0182, 80 , 80 ,,
period1,sc01,t0183, 80 , 80 ,,
period1,sc01,t0184, 80 , 80 ,,
period1,sc01,t0185, 80 , 80 ,,
period1,sc01,t0186, 80 , 80 ,,
period1,sc01,t0187, 80 , 80 ,,
period1,sc01,t0188, 80 , 80 ,,
period1,sc01,t0189, 80 , 80 ,,
period1,sc01,t0190, 80 , 80 ,,
period1,sc01,t0191, 80 , 80 ,,
period1,sc01,t0192, 80 , 80 ,,
period1,sc01,t0193, 80 , 80 ,,
period1,sc01,t0194, 80 , 80 ,,
period1,sc01,t0195, 80 , 80 ,,
period1,sc01,t0196, 80 , 80 ,,
period1,sc01,t0197, 80 , 80 ,,
period1,sc01,t0198, 80 , 80 ,,
period1,sc01,t0199, 80 , 80 ,,
period1,sc01,t0200, 80 , 80 ,,
period1,sc01,t0201, 80 , 80 ,,
period1,sc01,t0202, 80 , 80 ,,
period1,sc01,t0203, 80 , 80 ,,
period1,sc01,t0204, 80 , 80 ,,
period1,sc01,t0205, 80 , 80 ,,
period1,sc01,t0206, 80 , 80 ,,
period1,sc01,t0207, 80 , 80 ,,
period1,sc01,t0208, 80 , 80 ,,
period1,sc01,t0209, 80 , 80 ,,
period1,sc01,t0210, 80 , 80 ,,
period1,sc01,t0211, 80 , 80 ,,
period1,sc01,t0212, 80 , 80 ,,
period1,sc01,t0213, 80 , 80 ,,
period1,sc01,t0214, 80 , 80 ,,
period1,sc01,t0215, 80 , 80 ,,
period1,sc01,t0216, 80 , 80 ,,
period1,sc01,t0217, 80 , 80 ,,
period1,sc01,t0218, 80 , 80 ,,
period1,sc01,t0219, 80 , 80 ,,
period1,sc01,t0220, 80 , 80 ,,
period1,sc01,t0221, 80 , 80 ,,
period1,sc01,t0222, 80 , 80 ,,
period1,sc01,t0223, 80 , 80 ,,
period1,sc01,t0224, 80 , 80 ,,
period1,sc01,t0225, 80 , 80 ,,
period1,sc01,t0226, 80 , 80 ,,
period1,sc01,t0227, 80 , 80 ,,
period1,sc01,t0228, 80 , 80 ,,
period1,sc01,t0229, 80 , 80 ,,
period1,sc01,t0230, 80 , 80 ,,
period1,sc01,t0231, 80 , 80 ,,
period1,sc01,t0232, 80 , 80 ,,
period1,sc01,t0233, 80 , 80 ,,
period1,sc01,t0234, 80 , 80 ,,
period1,sc01,t0235, 80 , 80 ,,
period1,sc01,t0236, 80 , 80 ,,
period1,sc01,t0237, 80 , 80 ,,
period1,sc01,t0238, 80 , 80 ,,
period1,sc01,t0239, 80 , 80 ,,
period1,sc01,t0240, 80 , 80 ,,
period1,sc01,t0241, 80 , 80 ,,
period1,sc01,t0242, 80 , 80 ,,
period1,sc01,t0243, 80 , 80 ,,
period1,sc01,t0244, 80 , 80 ,,
period1,sc01,t0245, 80 , 80 ,,
period1,sc01,t0246, 80 , 80 ,,
period1,sc01,t0247, 80 , 80 ,,
period1,sc01,t0248, 80 , 80 ,,
period1,sc01,t0249, 80 , 80 ,,
period1,sc01,t0250, 80 , 80 ,,
period1,sc01,t0251, 80 , 80 ,,
period1,sc01,t0252, 80 , 80 ,,
period1,sc01,t0253, 80 , 80 ,,
period1,sc01,t0254, 80 , 80 ,,
period1,sc01,t0255, 80 , 80 ,,
period1,sc01,t0256, 80 , 80 ,,
period1,sc01,t0257, 80 , 80 ,,
period1,sc01,t0258, 80 , 80 ,,
period1,sc01,t0259, 80 , 80 ,,
period1,sc01,t0260, 80 , 80 ,,
period1,sc01,t0261, 80 , 80 ,,
period1,sc01,t0262, 80 , 80 ,,
period1,sc01,t0263, 80 , 80 ,,
period1,sc01,t0264, 80 , 80 ,,
period1,sc01,t0265, 80 , 80 ,,
period1,sc01,t0266, 80 , 80 ,,
period1,sc01,t0267, 80 , 80 ,,
period1,sc01,t0268, 80 , 80 ,,
period1,sc01,t0269, 80 , 80 ,,
period1,sc01,t0270, 80 , 80 ,,
period1,sc01,t0271, 80 , 80 ,,
