,,,Node1,Node2,Node3,Node4
period1,sc01,t0001, 77.98 ,,,
period1,sc01,t0002, 80.63 ,,,
period1,sc01,t0003, 75.83 ,,,
period1,sc01,t0004, 72.14 ,,,
period1,sc01,t0005, 69.42 ,,,
period1,sc01,t0006, 68.88 ,,,
period1,sc01,t0007, 70.68 ,,,
period1,sc01,t0008, 73.36 ,,,
period1,sc01,t0009, 73.27 ,,,
period1,sc01,t0010, 72.77 ,,,
period1,sc01,t0011, 77.87 ,,,
period1,sc01,t0012, 76.69 ,,,
period1,sc01,t0013, 79.38 ,,,
period1,sc01,t0014, 76.34 ,,,
period1,sc01,t0015, 71.74 ,,,
period1,sc01,t0016, 72.98 ,,,
period1,sc01,t0017, 76.14 ,,,
period1,sc01,t0018, 79.36 ,,,
period1,sc01,t0019, 80.55 ,,,
period1,sc01,t0020, 81.63 ,,,
period1,sc01,t0021, 79.96 ,,,
period1,sc01,t0022, 79.85 ,,,
period1,sc01,t0023, 79.19 ,,,
period1,sc01,t0024, 75.04 ,,,
period1,sc01,t0025, 63.18 ,,,
period1,sc01,t0026, 61.29 ,,,
period1,sc01,t0027, 61.72 ,,,
period1,sc01,t0028, 57.59 ,,,
period1,sc01,t0029, 57.52 ,,,
period1,sc01,t0030, 63.6 ,,,
period1,sc01,t0031, 66.51 ,,,
period1,sc01,t0032, 77.39 ,,,
period1,sc01,t0033, 78.02 ,,,
period1,sc01,t0034, 80.79 ,,,
period1,sc01,t0035, 76.94 ,,,
period1,sc01,t0036, 76.33 ,,,
period1,sc01,t0037, 74.48 ,,,
period1,sc01,t0038, 74.85 ,,,
period1,sc01,t0039, 72.61 ,,,
period1,sc01,t0040, 72.25 ,,,
period1,sc01,t0041, 78.64 ,,,
period1,sc01,t0042, 82.19 ,,,
period1,sc01,t0043, 82.75 ,,,
period1,sc01,t0044, 79.67 ,,,
period1,sc01,t0045, 78.85 ,,,
period1,sc01,t0046, 78.61 ,,,
period1,sc01,t0047, 72.94 ,,,
period1,sc01,t0048, 75.31 ,,,
period1,sc01,t0049, 65.69 ,,,
period1,sc01,t0050, 64.02 ,,,
period1,sc01,t0051, 62.55 ,,,
period1,sc01,t0052, 63.5 ,,,
period1,sc01,t0053, 65.3 ,,,
period1,sc01,t0054, 65.81 ,,,
period1,sc01,t0055, 78.67 ,,,
period1,sc01,t0056, 80.57 ,,,
period1,sc01,t0057, 84.06 ,,,
period1,sc01,t0058, 81.42 ,,,
period1,sc01,t0059, 82.56 ,,,
period1,sc01,t0060, 77.78 ,,,
period1,sc01,t0061, 78.8 ,,,
period1,sc01,t0062, 78.03 ,,,
period1,sc01,t0063, 79.06 ,,,
period1,sc01,t0064, 80.7 ,,,
period1,sc01,t0065, 81.08 ,,,
period1,sc01,t0066, 86.47 ,,,
period1,sc01,t0067, 83.67 ,,,
period1,sc01,t0068, 81.38 ,,,
period1,sc01,t0069, 81.59 ,,,
period1,sc01,t0070, 78.1 ,,,
period1,sc01,t0071, 78.8 ,,,
period1,sc01,t0072, 80.37 ,,,
period1,sc01,t0073, 76.81 ,,,
period1,sc01,t0074, 69.74 ,,,
period1,sc01,t0075, 65.36 ,,,
period1,sc01,t0076, 67.11 ,,,
period1,sc01,t0077, 72.31 ,,,
period1,sc01,t0078, 75.28 ,,,
period1,sc01,t0079, 83.96 ,,,
period1,sc01,t0080, 81.94 ,,,
period1,sc01,t0081, 83.28 ,,,
period1,sc01,t0082, 84.51 ,,,
period1,sc01,t0083, 84.3 ,,,
period1,sc01,t0084, 83.47 ,,,
period1,sc01,t0085, 80.85 ,,,
period1,sc01,t0086, 81.71 ,,,
period1,sc01,t0087, 81.83 ,,,
period1,sc01,t0088, 83 ,,,
period1,sc01,t0089, 79.89 ,,,
period1,sc01,t0090, 81.1 ,,,
period1,sc01,t0091, 86.39 ,,,
period1,sc01,t0092, 79.5 ,,,
period1,sc01,t0093, 78.1 ,,,
period1,sc01,t0094, 80.07 ,,,
period1,sc01,t0095, 82.25 ,,,
period1,sc01,t0096, 88.57 ,,,
period1,sc01,t0097, 82.42 ,,,
period1,sc01,t0098, 79.95 ,,,
period1,sc01,t0099, 76.26 ,,,
period1,sc01,t0100, 75.97 ,,,
period1,sc01,t0101, 73.97 ,,,
period1,sc01,t0102, 73.12 ,,,
period1,sc01,t0103, 75.35 ,,,
period1,sc01,t0104, 71.18 ,,,
period1,sc01,t0105, 80.21 ,,,
period1,sc01,t0106, 79.91 ,,,
period1,sc01,t0107, 83.02 ,,,
period1,sc01,t0108, 79.81 ,,,
period1,sc01,t0109, 75.39 ,,,
period1,sc01,t0110, 75.8 ,,,
period1,sc01,t0111, 72.94 ,,,
period1,sc01,t0112, 75.39 ,,,
period1,sc01,t0113, 78.86 ,,,
period1,sc01,t0114, 82.51 ,,,
period1,sc01,t0115, 81.57 ,,,
period1,sc01,t0116, 77.79 ,,,
period1,sc01,t0117, 78.7 ,,,
period1,sc01,t0118, 82.95 ,,,
period1,sc01,t0119, 75.75 ,,,
period1,sc01,t0120, 75.15 ,,,
period1,sc01,t0121, 67.44 ,,,
period1,sc01,t0122, 66.05 ,,,
period1,sc01,t0123, 64.47 ,,,
period1,sc01,t0124, 60.15 ,,,
period1,sc01,t0125, 58.75 ,,,
period1,sc01,t0126, 60.17 ,,,
period1,sc01,t0127, 62.1 ,,,
period1,sc01,t0128, 63.6 ,,,
period1,sc01,t0129, 67.52 ,,,
period1,sc01,t0130, 73.98 ,,,
period1,sc01,t0131, 76.3 ,,,
